sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__29663,29663,630,2056,1042,-1014,1910,0.0,0.0,0.0
forged__6103,6103,4212,4252,3465,-787,1907,0.5550567107750473,0.6169076462159698,0.06185093544092257
forged__8388,8388,7266,15980,15283,-697,1887,0.6035446958616536,0.6113796620692714,0.00783496620761781
forged__55790,55790,9205,4719,3672,-1047,1881,0.622234989945418,0.4998058554011027,-0.12242913454431531
forged__28645,28645,6025,5475,5721,246,1872,0.2627826086956522,0.27481695896475394,0.012034350269101768
forged__9218,9218,9317,8875,10106,1231,1857,0.5013192612137203,0.4711939453225557,-0.030125315891164572
forged__35829,35829,2987,3155,3201,46,1850,0.4516444154998372,0.46638655462184875,0.014742139122011555
forged__10878,10878,2158,7663,8714,1051,1843,0.4394664494450667,0.37270051508462104,-0.06676593436044564
forged__2290,2290,5206,5520,6468,948,1838,0.5211635278761887,0.51293472674319,-0.008228801132998731
forged__55072,55072,5566,5269,4883,-386,1838,0.5393631748961698,0.565412958177816,0.0260497832816462
forged__19633,19633,10852,13821,13109,-712,1838,0.8626433753495724,0.8709152372605484,0.008271861910976064
forged__35127,35127,9051,12020,12929,909,1829,0.6117412557543543,0.5737033666969973,-0.038037889057357055
forged__36295,36295,3860,9088,9150,62,1788,0.5596231078158789,0.5531129900076864,-0.006510117808192439
forged__57328,57328,6278,11395,10451,-944,1786,0.6877157245515758,0.7070356865323689,0.01931996198079311
forged__34036,34036,6534,13121,13787,666,1784,0.6219282625286187,0.6190640224398406,-0.0028642400887780584
forged__39875,39875,3223,5802,6204,402,1750,0.6149584487534626,0.6547151798026943,0.03975673104923172
forged__15426,15426,8170,7881,7789,-92,1728,0.5649492243473927,0.5638197882072812,-0.0011294361401115172
forged__55651,55651,3059,7634,7676,42,1708,0.0,0.006893339543549138,0.006893339543549138
